trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.5732736268885887}",30,12,5.965980203549797,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5704072587541458}",30,0,-92.6864403027657,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.567555222460375}",30,0,-157.20128466287102,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",20,0,-65.47990199171768,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",20,12,4.436927262030375,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",20,0,-74.87419104554586,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.5562889678716474}",20,12,0.5575505538925214,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.5535075230322891}",25,0,-89.34522204758856,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.5507399854171277}",20,0,-119.03017839309565,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.547986285490042}",20,0,-38.44068153039687,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.5452463540625918}",30,5,-54.75821891266552,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.5425201222922789}",25,0,-93.73801578497195,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.5398075216808175}",25,0,-168.22361014891038,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",30,20,5.535962758578201,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.5344229416520513}",20,3,15.23018751027031,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.531750826943791}",20,11,-2.7871905887893007,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",20,1,2.49387642039225,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5264466124450268}",25,1,-66.12471853959708,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.5238143793828016}",20,0,-94.87728257994691,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.5211953074858876}",20,6,-39.69128848224249,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
